,130A,8A,92A,11A,38A,37A,48A,100A,77A,4A,143F,143E,120A,107A,44A,33A,7A,6A,69A,73A,26A,70A,119A,57A,129A,13A,91A,87A,27A,82A,9A,89A,83A,86A,53A
san,0,1,1,-1,0,1,1,-1,-1,1,1,-1,0,-1,-1,1,1,-1,-1,0,1,-1,0,-1,0,1,-1,1,0,1,-1,-1,-1,-1,0
cyv,0,-1,0,-1,0,0,-1,1,-1,1,-1,1,0,1,-1,1,-1,-1,1,0,1,1,0,1,0,-1,1,1,1,-1,-1,1,-1,-1,-1
snc,1,-1,0,-1,0,0,0,0,0,-1,0,0,-1,0,0,0,-1,-1,0,0,0,0,-1,0,-1,-1,0,0,0,0,0,0,0,0,-1
war,0,-1,-1,1,-1,-1,1,1,-1,-1,-1,1,0,1,1,1,1,-1,-1,-1,-1,-1,0,1,0,-1,0,0,1,-1,-1,0,-1,-1,-1
gir,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0
apu,0,-1,-1,-1,-1,-1,-1,1,1,-1,-1,1,0,1,1,1,-1,-1,1,-1,1,1,0,1,0,-1,0,-1,-1,1,-1,1,0,1,-1
hay,0,0,-1,0,0,0,0,0,0,0,-1,1,0,0,0,1,0,0,1,1,1,-1,0,-1,0,0,1,1,0,1,0,0,1,1,0
chq,0,1,1,1,0,0,0,0,0,1,-1,1,0,0,0,-1,1,-1,1,0,1,0,0,1,0,1,0,-1,0,-1,0,1,-1,-1,0
fre,-1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,-1,1,1,-1,1,1,1,-1,-1,-1,1,-1,-1,1,-1,1,-1,-1,1
moo,0,0,1,0,-1,1,0,0,0,0,1,1,-1,0,0,0,0,0,1,0,1,0,-1,0,0,0,0,-1,1,1,0,-1,-1,1,0
buy,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-1,0,0
ora,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-1,-1,0,0
sup,0,1,1,-1,1,1,1,-1,-1,1,1,1,-1,-1,1,1,-1,-1,1,-1,1,1,-1,-1,0,1,0,-1,0,1,1,-1,1,1,1
yag,0,-1,1,-1,-1,-1,1,1,-1,-1,-1,1,1,-1,-1,1,-1,-1,1,-1,1,-1,1,1,0,1,1,-1,-1,-1,-1,1,-1,1,0
snm,0,-1,-1,-1,0,0,1,-1,1,-1,1,-1,1,1,-1,1,-1,-1,-1,-1,-1,-1,1,-1,0,-1,-1,-1,0,1,-1,0,1,1,0
bag,0,1,1,-1,-1,1,1,1,0,1,1,-1,1,-1,-1,1,1,-1,1,-1,1,-1,-1,1,0,1,0,-1,1,1,1,-1,-1,-1,0
otm,0,1,1,-1,0,0,1,1,1,1,-1,1,-1,-1,-1,0,-1,-1,1,-1,1,1,-1,0,0,1,1,1,0,-1,-1,1,-1,-1,1
grb,0,1,1,-1,-1,-1,1,-1,-1,1,-1,1,-1,1,1,1,-1,-1,1,-1,1,1,-1,-1,0,1,0,-1,0,1,1,-1,-1,1,1
amc,1,-1,1,-1,-1,-1,0,0,1,-1,1,-1,0,0,0,0,-1,-1,1,0,1,0,0,1,-1,0,-1,-1,0,0,0,0,1,1,0
hzb,0,1,-1,-1,-1,-1,1,1,1,1,1,-1,-1,-1,-1,1,1,1,1,1,1,1,1,-1,0,-1,0,1,1,1,-1,1,1,1,1
day,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-1,0,1,0,-1,-1,-1,0
wra,-1,1,-1,-1,0,0,1,1,1,-1,1,-1,0,1,-1,1,-1,-1,1,-1,1,1,0,1,-1,-1,-1,-1,0,1,-1,-1,1,1,1
mxc,0,1,-1,-1,-1,-1,1,1,-1,1,-1,1,0,-1,-1,1,-1,-1,1,-1,1,1,0,-1,0,1,0,-1,0,-1,-1,1,-1,-1,-1
urk,1,-1,1,-1,-1,-1,1,1,1,-1,1,-1,1,-1,-1,1,-1,-1,-1,-1,1,1,-1,1,-1,-1,-1,-1,0,1,1,1,1,1,0
trb,-1,0,1,0,0,0,1,1,0,0,1,-1,0,-1,-1,1,0,0,1,0,1,0,0,-1,-1,0,0,-1,0,1,0,-1,1,1,0
kan,0,0,-1,0,-1,1,0,0,0,0,-1,1,0,0,0,1,0,0,1,0,1,0,0,-1,0,0,0,0,0,1,0,1,-1,-1,0
yuc,0,1,1,-1,-1,0,1,1,-1,1,-1,1,0,-1,1,1,1,-1,1,0,1,0,0,1,0,-1,0,-1,1,1,-1,-1,1,1,0
dts,0,1,0,-1,0,0,0,0,0,1,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
kng,-1,-1,0,-1,0,0,0,0,1,-1,1,-1,0,0,0,0,-1,-1,0,0,0,0,0,-1,-1,-1,-1,-1,0,1,0,0,1,1,0
ykp,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-1,0,0,0,0
koa,-1,1,0,-1,0,1,1,1,1,1,1,-1,0,1,-1,1,-1,-1,0,-1,1,1,0,1,-1,1,0,-1,1,1,-1,-1,1,1,1
mdo,0,0,1,0,0,0,0,0,0,0,1,-1,0,0,0,1,0,0,1,0,1,0,0,-1,0,0,0,1,0,1,0,-1,-1,-1,0
gbk,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,1,0,0,1,-1,1,-1,0,1,0,0,0,1,0,1,0,-1,-1,-1,0
lkt,0,1,1,-1,1,1,1,1,1,1,1,-1,-1,-1,-1,1,1,-1,1,-1,1,-1,-1,1,0,-1,1,-1,1,1,-1,-1,1,0,1
brs,-1,0,-1,0,0,0,1,1,1,0,1,-1,-1,-1,1,1,0,0,1,-1,1,1,1,-1,-1,0,0,0,-1,0,-1,1,1,1,-1
snd,0,1,0,-1,0,0,0,0,0,1,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
oca,-1,-1,0,-1,0,0,0,0,0,1,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,-1,1,0,0,0,0,-1,0,0,0,0
sml,0,1,-1,-1,0,0,1,1,0,1,-1,1,0,1,-1,0,1,-1,0,-1,0,-1,0,0,0,-1,0,-1,1,0,1,1,-1,-1,0
gua,-1,1,0,-1,-1,1,1,1,1,1,1,1,1,-1,-1,1,-1,-1,-1,1,1,1,-1,1,-1,-1,0,-1,0,1,-1,1,-1,1,1
sla,-1,1,1,-1,-1,-1,1,1,1,1,1,-1,-1,1,-1,1,1,-1,1,-1,1,-1,-1,1,-1,1,0,-1,-1,1,-1,-1,1,1,1
mun,0,1,1,-1,-1,-1,1,1,-1,1,-1,1,-1,1,1,1,-1,-1,1,1,1,1,-1,1,0,-1,0,1,0,1,1,1,1,1,1
krk,1,-1,0,-1,0,1,1,1,1,-1,1,1,-1,1,-1,1,-1,-1,1,-1,1,1,-1,1,-1,1,0,-1,1,1,-1,1,0,1,0
bur,-1,1,-1,-1,0,1,1,1,-1,1,-1,1,-1,1,1,1,-1,1,1,-1,1,1,1,1,-1,-1,1,1,0,1,1,1,1,1,1
tne,0,1,1,-1,1,1,0,0,0,1,1,-1,-1,0,0,1,-1,-1,1,0,1,0,-1,-1,0,1,0,-1,0,1,0,-1,-1,-1,0
mby,-1,0,1,0,0,0,1,1,0,0,1,-1,0,-1,0,1,0,0,0,0,1,1,0,1,1,0,0,-1,0,1,0,-1,-1,-1,0
nav,1,1,1,-1,0,0,1,1,1,1,-1,1,-1,1,1,1,1,-1,1,-1,1,-1,-1,1,-1,1,1,-1,-1,1,-1,1,1,1,1
dga,0,0,0,0,-1,1,1,-1,0,0,-1,1,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,1,0,-1,-1,1,0
ble,0,0,-1,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-1,0,1,0,-1,-1,0,0
kch,0,1,-1,-1,0,1,1,-1,0,1,-1,1,0,1,-1,1,-1,-1,-1,0,-1,0,0,-1,0,-1,-1,-1,0,1,0,-1,-1,1,0
doy,0,1,1,-1,-1,1,1,1,0,1,1,1,0,1,-1,1,1,-1,1,0,1,0,0,1,0,1,0,-1,0,1,0,-1,-1,1,0
lan,0,1,-1,-1,1,-1,1,1,-1,1,-1,1,0,-1,-1,1,-1,-1,1,-1,1,1,0,0,0,1,0,-1,-1,1,1,-1,-1,-1,1
yor,0,1,-1,-1,-1,-1,1,-1,-1,1,-1,1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,0,-1,1,1,-1,-1,-1,-1,1
epe,0,-1,-1,-1,-1,1,1,-1,1,1,1,-1,1,-1,-1,1,-1,-1,1,-1,1,1,-1,-1,0,-1,0,-1,1,1,-1,-1,1,1,0
kfe,-1,1,1,-1,-1,1,1,1,-1,1,-1,1,0,-1,1,1,-1,-1,1,-1,1,1,0,-1,1,-1,0,-1,-1,1,1,-1,-1,1,0
hin,0,1,1,-1,-1,-1,1,1,-1,1,-1,1,-1,1,-1,1,-1,-1,1,-1,1,1,1,0,0,-1,1,1,1,1,-1,1,1,1,1
paw,0,1,-1,-1,0,0,0,0,0,1,1,-1,0,0,0,0,-1,-1,1,0,1,0,0,-1,0,1,0,1,0,1,0,-1,1,0,0
mab,-1,1,-1,-1,0,1,1,1,-1,1,1,-1,0,1,-1,1,-1,-1,1,-1,1,1,0,-1,1,1,1,-1,0,1,0,-1,1,0,0
tuk,0,1,1,-1,-1,1,1,1,-1,-1,-1,1,1,1,-1,-1,1,-1,1,-1,1,1,-1,-1,0,-1,0,-1,1,-1,1,-1,-1,-1,1
kis,-1,0,-1,0,-1,-1,1,1,0,0,1,1,0,1,-1,1,0,0,1,-1,0,1,0,0,1,0,0,-1,0,1,0,-1,0,-1,1
dre,-1,1,1,-1,0,1,1,-1,-1,1,-1,1,0,1,1,1,-1,-1,-1,-1,-1,-1,0,1,-1,-1,-1,-1,1,0,1,1,-1,-1,1
hix,0,1,-1,-1,-1,-1,1,1,1,1,1,-1,1,1,1,1,-1,-1,1,-1,1,1,1,1,0,-1,-1,-1,-1,-1,-1,1,1,1,-1
ctm,0,0,1,0,0,0,0,0,1,0,1,-1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,-1,-1,0,1,0,-1,1,1,0
mnd,-1,1,1,1,0,0,1,-1,-1,1,-1,1,-1,1,1,1,-1,-1,1,-1,1,-1,-1,-1,-1,1,1,1,1,1,1,1,-1,1,1
pms,0,1,-1,-1,-1,1,1,1,-1,-1,-1,1,-1,-1,-1,1,-1,-1,1,-1,1,1,-1,1,0,-1,0,-1,1,1,1,-1,-1,-1,0
lat,0,1,1,-1,1,1,1,1,1,1,-1,1,1,1,1,1,-1,-1,1,-1,1,1,1,-1,0,1,1,1,0,0,-1,1,-1,1,1
